ID,SampleName,Progeny
1,1864_P1a,1
2,1864_P1aP2a,2
3,1864_P1aP2b,2
4,1864_P1aP2aP3a,3
5,1864_P1aP2bP3b,3
6,1864_P1aP2bP3c,3
7,1864_P1aP2aP3aP4a,4
8,1864_P1aP2aP3aP4b,4
9,1864_P1aP2aP3aP4c,4
10,1864_P1aP2bP3cP4d,4
11,1864_P1aP2bP3cP4e,4
12,1864_P1aP2bP3cP4f,4
13,1864_P1aP2bP3cP4g,4
14,1864_P1aP2aP3aP4aP5a,5
15,1864_P1aP2aP3aP4bP5b,5
16,1864_P1aP2aP3aP4bP5c,5
17,1864_P1aP2aP3aP4cP5d,5
18,1864_P1aP2aP3aP4bP5cP6a,6
19,1864_P1aP2aP3aP4bP5cP6b,6
20,1864_P1aP2aP3aP4bP5cP6c,6
21,1864_P1aP2aP3aP4bP5cP6d,6
22,1864_P1aP2aP3aP4bP5cP6e,6
23,1864_P1aP2aP3aP4bP5cP6f,6
24,1864_P1aP2aP3aP4bP5cP6g,6
